arxiv,date,cites,title,authors,flags,sources,doi,abstract_400
2608.27014,2026-08-27,,Conformal Cyclic Cosmology from Varying Fundamental Constants,Konrad Marosek; Adam Balcerzak,bimetric,arxiv:bimetric_recent,,"We investigate a bimetric cosmological model in which the gravitational and matter sectors are described by distinct metrics related through a time-dependent function $α(t)$. This relation leads to dynamical gravitational parameters, with $G(t)\proptoα^{-3}$ and $c_{\rm grav}(t)\proptoα^{-1}$, where $c_{\rm grav}$ denotes the propagation speed of gravitational interactions. We consider a class of "
2608.13529,2026-08-13,0,Vector Perturbations in Ghost-Free Quasidilaton Massive Gravity,"Kulchoakrungsun, Ekapob; Samart, Daris","varying,scalar-coupled,ghost",inspire:citing_1206.3852;inspire:ft_higuchi_varying,,"We study transverse vector perturbations in ghost-free extended quasidilaton massive gravity without a quasidilaton kinetic term, in the presence of minimal matter. In vacuum, we recover the known result that the kinetic coefficient $K_V$ of the gravitational vector modes vanishes on the self-accelerating branch $J=0$, so those modes are infinitely strongly coupled at linear order. We then add a c"
2608.11086,2026-08-11,0,Distance-Higuchi Bounds on Inflationary Field Ranges and Lifetimes,"Anchordoqui, Luis A.; Antoniadis, Ignatios; Bedroya, Alek","higuchi,scalar-coupled",arxiv:higuchi_all;inspire:citing_1308.1647;inspire:ft_genhiguchi,,"We show that quasi-de Sitter inflation driven by a nearly flat scalar potential has a finite polynomial lifespan dictated by the interplay between the swampland Distance Conjecture and the generalized Higuchi bound. By analyzing classical scalar rolling and quantum stochastic diffusion, we demonstrate that for any arbitrarily high but fixed statistical confidence, a universe cannot live longer tha"
,2026-07-30,0,Theoretical and phenomenological aspects of multi-gravity,"Wood, Kieran","bimetric,scalar-coupled",inspire:citing_1206.3852;inspire:citing_1308.1647;inspire:citing_1404.0008;inspire:citing_1407.4331;inspire:citing_1503.07436,,"For well over a century, general relativity (GR) has remained our leading descriptor of the gravitational interaction, passing all observational tests to within a remarkable degree of precision. Despite its many successes, viable alternatives to GR have long been sought, as it is firstly a crucial task to develop theories of gravity for us to test GR against, and as there secondly remain multiple "
2607.24347,2026-07-27,,Multi-gravity cosmology beyond pairwise interactions,J. Flinckman,"bimetric,ghost",arxiv:bimetric_recent,,"We develop the cosmological framework for Hassan--Schmidt-May multi-gravity, a ghost-free extension of bimetric theory with genuinely non-pairwise interactions of multiple spin-2 fields. For metrics that are simultaneously homogeneous and isotropic, the background dynamics reduce to a modified Friedmann equation supplemented by a system of coupled quartic polynomial equations for the scale-factor "
2606.25154,2026-06-23,1,Diffeomorphic Scalar Duality,"de Rham, Claudia; Tolley, Andrew J.","varying,scalar-coupled",inspire:citing_1308.1647,,"We show that every local scalar effective field theory admits a new kind of duality to an infinite class of local scalar field theories with distinct Lagrangians. The duality map takes the form of a field-dependent diffeomorphism, and cannot be obtained via purely local field redefinitions, nevertheless the dual theory has an identical $S$-matrix. The subset of interactions that maintain second-or"
2603.03433,2026-03-03,41,The COSMIC WISPers White Paper: The physics case for Weakly Interacting Slim Particles,"Arza, A.; Aybas, D.; Balaji, S.; Balkin, R.",,inspire:citing_1702.04490,,"Axions and other very weakly interacting slim particles (WISPs), with masses below 1 GeV, arise naturally in many extensions of the Standard Model of particle physics. In particular, they could offer a new framework to explain the nature of dark matter and may help address a range of puzzling observations in astrophysics and particle physics. This review provides an overview of ongoing WISP search"
,2026-02-27,0,Theoretical and phenomenological aspects of gravitational waves in Hassan-Rosen bimetric theory,"Soler Oficial, Araceli",bimetric,inspire:citing_1206.3852;inspire:citing_1308.1647;inspire:citing_1404.0008;inspire:citing_1407.4331;inspire:citing_1410.0207;inspire:citing_1503.07436,,"This thesis explores the theoretical foundations and phenomenological implications of the Hassan-Rosen bimetric gravity theory, analyzing perturbations on cosmological and black-hole backgrounds, and considering its connections to broader theoretical frameworks in gravitational physics. First, within cosmological settings, the coupled dynamics of the massless and massive spin-2 modes are analyzed "
2602.20734,2026-02-24,1,Bypassing the Lyth Bound with Entangled Gravitons: Primordial Signatures and Late-Time Noise,"Akama, Shingo; Lin, Chunshan",,inspire:citing_1206.3852;inspire:citing_1407.4331,,"We demonstrate that quantum entanglement between primordial gravitons in dynamically decoupled gravitational sectors can parametrically enhance the tensor power spectrum during inflation. Unlike standard mechanisms relying on classical dynamics or modified actions, this enhancement originates from the reduced density matrix of the observable sector after tracing over a hidden gravitational reservo"
2602.09089,2026-02-09,24,WISPedia -- the WISPs Encyclopedia,"Albertus, Conrado; Chadha-Day, Francesca; de Giorgi, Arturo; Dejrah, Rafid H.",,inspire:citing_1702.04490,,"The Weakly-Interacting Slim Particle encyclopedia (WISPedia) is a comprehensive reference work dedicated to the systematic compilation of theoretical models, Effective Field Theories, and frameworks involving Weakly Interacting Slim Particles (WISPs): a broad class of light, feebly coupled particles proposed in extensions of the Standard Model. In current times, where the number of models largely "
